ID,eNodeB_ID,Sect_ID,CellName,Azimuth,PCI,CoverageZone,Region,Longitude,Latitude,Implemented,City
516148_0,516148,0,北街医院留院部接入机房_F_O_H_0,30,,室外,城区,113.109,22.6092,y,江门
516148_1,516148,1,北街医院留院部接入机房_F_O_H_1,160,,室外,城区,113.109,22.6092,y,江门
516148_2,516148,2,北街医院留院部接入机房_F_O_H_2,270,,室外,城区,113.109,22.6092,y,江门
516148_3,516148,3,江门中心医院室分FRRU1,360,,室内,城区,113.109,22.6092,y,江门
516148_4,516148,4,江门中心医院室分FRRU2,360,,室内,城区,113.109,22.6092,y,江门
516614_0,516614,0,鹤山大昌_F_O_H_0,20,,室外,郊区,112.9547,22.77985,y,江门
516614_1,516614,1,鹤山大昌_F_O_H_1,120,,室外,郊区,112.9547,22.77985,y,江门
516614_2,516614,2,鹤山大昌_F_O_H_2,220,,室外,郊区,112.9547,22.77985,y,江门
516609_0,516609,0,鹤山电信大楼_F_O_H_0,30,,室外,郊区,112.961,22.7763,y,江门
516609_1,516609,1,鹤山电信大楼_F_O_H_1,150,,室外,郊区,112.961,22.7763,y,江门
516609_2,516609,2,鹤山电信大楼_F_O_H_2,270,,室外,郊区,112.961,22.7763,y,江门
516609_3,516609,3,鹤山电信大楼室分FRRU1,360,,室内,郊区,112.961,22.7763,y,江门
516609_4,516609,4,鹤山电信大楼室分FRRU2,360,,室内,郊区,112.961,22.7763,y,江门
516609_5,516609,5,鹤山文华酒楼室分FRRU,360,,室内,郊区,112.961,22.7763,y,江门
516632_0,516632,0,鹤山恒辉_F_O_H_0,60,,室外,农村,112.948,22.7723,y,江门
516632_1,516632,1,鹤山恒辉_F_O_H_1,220,,室外,农村,112.948,22.7723,y,江门
516632_2,516632,2,鹤山恒辉_F_O_H_2,310,,室外,农村,112.948,22.7723,y,江门
