TargetCell,TargetSect,Distance,Position,Layers,PCI,PciGroup,PciMinLayer,PciGroupMinLayer,CoverageZone
240912,1,595,90,1,101,33,1,1,室外
240912,2,595,90,1,99,33,1,1,室外
240912,3,595,90,1,100,33,1,1,室外
240913,1,0,90,0,,,,,室外
240913,2,0,90,0,,,,,室外
240913,3,0,90,0,,,,,室外
240914,1,378,90,1,102,34,1,1,室外
240914,2,378,90,1,103,34,1,1,室外
240914,3,378,90,1,104,34,1,1,室外
240915,1,1059,90,2,105,35,2,2,室外
240915,2,1059,90,2,106,35,2,2,室外
240915,3,1059,90,2,107,35,2,2,室外
240916,1,876,90,2,108,36,2,2,室外
240916,2,876,90,2,109,36,2,2,室外
240916,3,876,90,2,110,36,2,2,室外
