LAC,CellName,CellId,BSIC,BCCH,stationtype,Longitude,Latitude,Azimuth,High
4420,MOTO大厦NG1,52364,51,32,1,116.477931,40.006421,55,
4420,MOTO大厦NG2,52365,52,23,1,116.477931,40.006421,215,
4420,MOTO大厦NG3,52366,48,29,1,116.477931,40.006421,310,
4420,MOTO大厦DCSND1,15457,47,528,1,116.477931,40.006421,55,
4420,MOTO大厦DCSND2,15458,23,523,1,116.477931,40.006421,215,
4420,MOTO大厦DCSND3,15459,57,526,1,116.477931,40.006421,310,
4277,昌平发电站NG0,40,34,22,0,115.975394,40.121486,0,
4370,T3D东北GNG1,52141,41,25,1,116.610341,40.066871,10,
4370,T3D东北GNG2,52142,40,34,1,116.610341,40.066871,170,
4370,T3D东北GDCSND1,15334,50,520,1,116.610341,40.066871,10,
4370,T3D东北GDCSND2,15335,55,532,1,116.610341,40.066871,170,
4445,T3D东北漫AGNG1,52808,33,29,1,116.610341,40.066871,10,
4445,T3D东北漫AGNG2,52268,57,20,1,116.610341,40.066871,170,
4445,T3D东北漫AGDCSND1,13055,59,536,1,116.610341,40.066871,10,
4445,T3D东北漫AGDCSND2,13053,16,534,1,116.610341,40.066871,170,
4446,T3D东北漫BGNG1,52809,31,39,1,116.610341,40.066871,10,
4446,T3D东北漫BGNG2,52269,50,36,1,116.610341,40.066871,170,
4446,T3D东北漫BGDCSND1,13056,40,523,1,116.610341,40.066871,10,
4446,T3D东北漫BGDCSND2,13054,62,530,1,116.610341,40.066871,170,
4251,T3D西GNG2,52138,22,33,1,116.604281,40.065441,190,
4251,T3D西GNG3,52139,61,24,1,116.604281,40.065441,350,
4251,T3D西GDCSND2,15332,18,521,1,116.604281,40.065441,190,
4251,T3D西GDCSND3,15333,15,534,1,116.604281,40.065441,350,
4445,T3D西漫AGNG3,52034,28,36,1,116.604281,40.065441,350,
4445,T3D西漫AGDCSND2,13051,63,523,1,116.604281,40.065441,190,
4445,T3D西漫AGDCSND3,12892,16,526,1,116.604281,40.065441,350,
4446,T3D西漫BGNG3,52035,53,29,1,116.604281,40.065441,350,
4446,T3D西漫BGDCSND2,13052,54,519,1,116.604281,40.065441,190,
4446,T3D西漫BGDCSND3,12893,52,530,1,116.604281,40.065441,350,
4370,T3停车楼东DCSGND1,13834,61,523,1,116.6134454,40.05277942,70,
4370,T3停车楼东DCSGND2,13835,47,513,1,116.6134454,40.05277942,190,
4370,T3停车楼东DCSGND3,13836,56,520,1,116.6134454,40.05277942,300,
4370,T3停车楼东GNG1,53941,55,22,1,116.6134454,40.05277942,60,
4370,T3停车楼东GNG2,53942,23,27,1,116.6134454,40.05277942,180,
4370,T3停车楼东GNG3,53943,30,25,1,116.6134454,40.05277942,310,
4370,T3停车楼南DCSGND1,13831,10,528,1,116.6102552,40.04499648,70,
4370,T3停车楼南DCSGND2,13832,22,520,1,116.6102552,40.04499648,190,
4370,T3停车楼南DCSGND3,13833,54,535,1,116.6102552,40.04499648,300,
4370,T3停车楼南GNG1,53937,55,24,1,116.6102552,40.04499648,70,
4370,T3停车楼南GNG2,53938,13,35,1,116.6102552,40.04499648,190,
4370,T3停车楼南GNG3,53939,10,31,1,116.6102552,40.04499648,300,
4370,T3停车楼西DCSGND1,13837,9,525,1,116.6058611,40.05088889,70,
4370,T3停车楼西DCSGND2,13838,8,517,1,116.6058611,40.05088889,190,
4370,T3停车楼西DCSGND3,13839,8,513,1,116.6058611,40.05088889,300,
4370,T3停车楼西GNG1,53944,10,37,1,116.6058611,40.05088889,70,
4370,T3停车楼西GNG2,53945,58,39,1,116.6058611,40.05088889,190,
4370,T3停车楼西GNG3,53946,43,29,1,116.6058611,40.05088889,300,
4276,爱地大厦NG1,5333,9,27,1,116.418461,39.957311,70,
4276,爱地大厦NG2,5334,38,22,1,116.418461,39.957311,180,
4276,爱地大厦NG3,5335,27,40,1,116.418461,39.957311,285,
4276,爱地大厦DCSND1,10644,38,528,1,116.418461,39.957311,70,
4276,爱地大厦DCSND2,10645,56,526,1,116.418461,39.957311,175,
4276,爱地大厦DCSND3,10646,40,530,1,116.418461,39.957311,295,
4294,安德里NG1,1738,55,32,1,116.380459,39.948438,60,
4294,安德里NG3,1740,51,34,1,116.380459,39.948438,320,
4294,安德里DCSND1,10637,33,519,1,116.380459,39.948438,60,
4294,安德里DCSND3,10639,53,531,1,116.380459,39.948438,320,
4294,安德路东侧NG1,5143,17,30,1,116.395001,39.94972222,60,
4294,安德路东侧NG2,5144,46,36,1,116.395001,39.94972222,180,
4294,安德路东侧NG3,5145,57,27,1,116.395001,39.94972222,300,
4294,安德路东侧DCSND1,10181,11,527,1,116.395001,39.94972222,60,
4294,安德路东侧DCSND2,10182,63,515,1,116.395001,39.94972222,180,
4294,安德路东侧DCSND3,10183,10,530,1,116.395001,39.94972222,300,
4346,安定门桥西北GNG1,40014,39,28,1,116.401511,39.948261,30,
4346,安定门桥西北GNG2,40015,9,25,1,116.401511,39.948261,130,
4346,安定门桥西北GNG3,40016,28,39,1,116.401511,39.948261,245,
4346,安定门桥西北GDCSND1,13484,12,521,1,116.401511,39.948261,30,
4346,安定门桥西北GDCSND2,13485,16,523,1,116.401511,39.948261,130,
4346,安定门桥西北GDCSND3,13486,28,534,1,116.401511,39.948261,245,
4235,安华里技校NG1,9797,42,39,1,116.3991667,39.96194444,60,
4235,安华里技校NG2,9798,37,37,1,116.3991667,39.96194444,180,
4235,安华里技校NG3,9799,62,20,1,116.3991667,39.96194444,300,
4235,安华里技校DCSND3,15773,2,516,1,116.3991667,39.96194444,300,
4245,安华桥NG1,1031,26,34,1,116.3869444,39.96972222,50,
4245,安华桥NG2,1032,16,24,1,116.3869444,39.96972222,190,
4245,安华桥NG3,1033,18,28,1,116.3869444,39.96972222,260,
4245,安华桥DCSND1,10471,46,532,1,116.3869444,39.96972222,50,
4245,安华桥DCSND2,10472,24,515,1,116.3869444,39.96972222,190,
4245,安华桥DCSND3,10473,30,523,1,116.3869444,39.96972222,260,
4245,安华桥西北GNG1,52094,31,28,1,116.388001,39.968001,40,
4245,安华桥西北GNG3,52096,48,37,1,116.388001,39.968001,310,
4245,安华桥西北GDCSND1,15264,48,519,1,116.388001,39.968001,40,
4245,安华桥西北GDCSND3,15266,12,526,1,116.388001,39.968001,310,
4245,安华桥西南NG1,5724,63,40,1,116.387621,39.965536,65,
4245,安华桥西南NG2,5725,17,23,1,116.387621,39.965536,170,
4245,安华桥西南NG3,5726,27,29,1,116.387621,39.965536,300,
4245,安华桥西南DCSND1,11901,14,521,1,116.387621,39.965536,65,
4245,安华桥西南DCSND2,11902,47,514,1,116.387621,39.965536,170,
4245,安华桥西南DCSND3,11903,11,530,1,116.387621,39.965536,300,
4235,安华西里NG1,5235,61,33,1,116.393531,39.963874,60,
4235,安华西里NG2,5236,47,36,1,116.393531,39.963874,180,
4235,安华西里NG3,5237,33,38,1,116.393531,39.963874,300,
4412,安徽大厦NG1,54447,42,29,1,116.4101968,39.98700231,45,
4412,安徽大厦NG2,54448,25,36,1,116.4101968,39.98700231,150,
4412,安徽大厦NG3,54449,28,27,1,116.4101968,39.98700231,310,
4412,安徽大厦DCSND1,15637,51,521,1,116.4101968,39.98700231,45,
4412,安徽大厦DCSND2,15638,54,534,1,116.4101968,39.98700231,150,
4412,安徽大厦DCSND3,15639,22,514,1,116.4101968,39.98700231,310,
4403,安慧北里NG1,1983,22,29,1,116.4052778,39.99694444,90,
4403,安慧北里NG2,1984,47,20,1,116.4052778,39.99694444,180,
4403,安慧北里NG3,1985,40,36,1,116.4052778,39.99694444,300,
4403,安慧北里DCSND1,10431,23,531,1,116.4052778,39.99694444,90,
4403,安慧北里DCSND2,10432,15,536,1,116.4052778,39.99694444,180,
4403,安慧北里DCSND3,10433,33,517,1,116.4052778,39.99694444,300,
4403,安慧北里安园NG1,52357,12,32,1,116.40505,39.9978,60,
4207,昌平燕子口NG0,620,19,21,0,116.1970556,40.31105556,0,
4403,安慧北里安园NG2,52358,57,34,1,116.40505,39.9978,180,
4403,安慧北里安园NG3,52359,53,25,1,116.40505,39.9978,300,
4403,安慧北里安园DCSND1,15451,52,521,1,116.40505,39.9978,60,
4403,安慧北里安园DCSND2,15452,31,513,1,116.40505,39.9978,180,
4403,安慧北里安园DCSND3,15453,46,525,1,116.40505,39.9978,300,
4216,安慧里NG1,1155,31,33,1,116.402501,39.99305556,70,
4216,安慧里NG2,1156,28,22,1,116.402501,39.99305556,150,
4216,安慧里NG3,1157,29,37,1,116.402501,39.99305556,300,
4216,安慧里DCSND1,10344,33,515,1,116.402501,39.99305556,75,
4216,安慧里DCSND2,10345,12,512,1,116.402501,39.99305556,150,
4216,安慧里DCSND3,10346,25,535,1,116.402501,39.99305556,295,
4412,安慧桥东北NG1,5424,36,38,1,116.4033333,39.98777778,120,
4412,安慧桥东北NG2,5425,43,23,1,116.4033333,39.98777778,220,
4412,安慧桥东北NG3,5426,20,36,1,116.4033333,39.98777778,320,
4412,安慧桥东北DCSND1,10397,18,518,1,116.4033333,39.98777778,120,
4412,安慧桥东北DCSND2,10398,57,528,1,116.4033333,39.98777778,220,
4412,安慧桥东北DCSND3,10399,31,522,1,116.4033333,39.98777778,330,
4349,安乐林路NG1,1447,31,37,1,116.40468,39.86013,80,
4349,安乐林路NG2,1448,56,31,1,116.40468,39.86013,200,
4349,安乐林路NG3,1449,16,28,1,116.40468,39.86013,330,
4349,安乐林路NG4,54736,15,1010,1,116.40468,39.86013,260,
4349,安乐林路DCSND1,13014,57,518,1,116.40468,39.86013,80,
4349,安乐林路DCSND2,13015,19,531,1,116.40468,39.86013,200,
4349,安乐林路DCSND3,13016,55,536,1,116.40468,39.86013,330,
4224,安立花园NG1,5487,59,38,1,116.402492,40.002558,60,
4224,安立花园NG2,5488,24,33,1,116.402492,40.002558,250,
4224,安立花园NG3,5489,37,21,1,116.402492,40.002558,325,
4224,安立花园DCSND1,11004,21,519,1,116.402492,40.002558,60,
4224,安立花园DCSND2,11005,33,536,1,116.402492,40.002558,250,
4224,安立花园DCSND3,11006,37,534,1,116.402492,40.002558,310,
4346,安外地坛NG1,1465,42,31,1,116.4008333,39.95305556,30,
4346,安外地坛NG2,1466,26,40,1,116.4008333,39.95305556,180,
4346,安外地坛NG3,1467,26,23,1,116.4008333,39.95305556,280,
4346,安外地坛DCSND1,10441,53,536,1,116.4008333,39.95305556,60,
4346,安外地坛DCSND2,10442,60,512,1,116.4008333,39.95305556,180,
4412,安苑北里NG1,1456,40,34,1,116.4055556,39.98666667,75,
4412,安苑北里NG2,1457,42,40,1,116.4055556,39.98666667,215,
4412,安苑北里NG3,1458,11,30,1,116.4055556,39.98666667,300,
4412,安苑北里DCSND1,10387,51,531,1,116.4055556,39.98666667,75,
4412,安苑北里DCSND2,10388,54,512,1,116.4055556,39.98666667,215,
4412,安苑北里DCSND3,10389,56,520,1,116.4055556,39.98666667,300,
4412,安苑路西口NG1,5140,39,38,1,116.4016667,39.98138889,60,
4412,安苑路西口NG2,5141,11,21,1,116.4016667,39.98138889,180,
4412,安苑路西口NG3,5142,46,32,1,116.4016667,39.98138889,300,
4412,安苑路西口DCSND1,10394,19,525,1,116.4016667,39.98138889,60,
4412,安苑路西口DCSND2,10395,61,523,1,116.4016667,39.98138889,180,
4412,安苑路西口DCSND3,10396,13,531,1,116.4016667,39.98138889,300,
4411,安贞大厦NG1,7651,10,21,1,116.402701,39.967081,60,
4411,安贞大厦NG2,7652,20,32,1,116.402701,39.967081,180,
4411,安贞大厦NG3,7653,19,34,1,116.402701,39.967081,300,
4411,安贞大厦DCSND1,11321,63,518,1,116.402701,39.967081,60,
4411,安贞大厦DCSND2,11322,54,530,1,116.402701,39.967081,180,
4411,安贞大厦DCSND3,11323,52,528,1,116.402701,39.967081,300,
4245,安贞路南口NG1,5389,9,33,1,116.395001,39.97027778,65,
4245,安贞路南口NG2,5390,16,21,1,116.395001,39.97027778,160,
4245,安贞路南口NG3,5391,56,30,1,116.395001,39.97027778,290,
4245,安贞路南口DCSND1,10481,13,525,1,116.395001,39.97027778,60,
4245,安贞路南口DCSND2,10482,9,532,1,116.395001,39.97027778,170,
