省市,地市,区县,SITENAME,macroEnbId,站址,站型,厂家,设备类型,Lon,Lat,传输带宽,传输IP配置,Cell,ECI,PCI,TAC,EARFCN,Azimuth,ANT_BEAM_WIDTH,预制电下倾,机械下倾角,挂高,PA,PB,RsPower,合路方式,单双路,原有室分系统,CellClass,通过时间,接入网优平台信息是否准确,录入资管平台信息是否准确,MRR是否可以开启,站间距,RRU数,批次,报告顺序
北京,北京市,朝阳,89610,89610,北京市,宏站,华为,,116.447746,39.914928,,,22940213,22940213,399,4278,1400,340,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,8
北京,北京市,昌平,70660,70660,北京市,宏站,中兴,,116.23561,40.22192,,,18088975,18088975,334,4166,38544,165,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,10
北京,北京市,昌平,78743,78743,北京市,宏站,中兴,,116.118081,40.231191,,,20158227,20158227,278,4144,40936,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,10
北京,北京市,昌平,81978,81978,北京市,室分,中兴,,116.23468,40.21318,,,20986389,20986389,9,4166,39292,0,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,9
北京,北京市,海淀,82865,82865,北京市,室分,中兴,,116.349196,39.990888,,,21213454,21213454,444,4318,39148,0,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,10
北京,北京市,朝阳,89477,89477,北京市,宏站,华为,,116.472866,39.877892,,,22906127,22906127,258,4438,38544,140,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,10
北京,北京市,海淀,66079,66079,北京市,室分,中兴,,116.228441,39.949961,,,16916239,16916239,149,4314,38950,0,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,10
北京,北京市,海淀,70236,70236,北京市,宏站,中兴,,116.318941,40.007371,,,17980432,17980432,101,4544,38544,309,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,10
北京,北京市,石景山,71144,71144,北京市,宏站,中兴,,116.116841,39.958271,,,18212876,18212876,139,4301,38400,180,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,7
北京,北京市,房山,72395,72395,北京市,宏站,中兴,,116.162311,39.715991,,,18533135,18533135,445,4199,38544,90,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,8
北京,北京市,朝阳,73837,73837,北京市,宏站,华为,,116.471442,39.878901,,,18902285,18902285,263,4438,38400,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,7
北京,北京市,朝阳,75355,75355,北京市,宏站,华为,,116.389275,39.987152,,,19290939,19290939,116,4411,40144,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,7
北京,北京市,海淀,82866,82866,北京市,室分,中兴,,116.349196,39.990888,,,21213706,21213706,465,4318,38950,0,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,7
北京,北京市,海淀,88782,88782,北京市,宏站,中兴,,116.302781,39.969951,,,22728205,22728205,244,4192,38400,270,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,7
北京,北京市,西城,90514,90514,北京市,宏站,中兴,,116.373911,39.877658,,,23171596,23171596,415,4111,38400,140,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,8
北京,北京市,海淀,70585,70585,北京市,宏站,中兴,,116.352901,40.000211,,,18069773,18069773,129,4136,38400,350,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,8
北京,北京市,朝阳,74002,74002,北京市,宏站,华为,,116.478279,39.874256,,,18944525,18944525,11,4438,38400,230,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,8
北京,北京市,朝阳,74813,74813,北京市,宏站,华为,,116.454584,39.976386,,,19152181,19152181,104,4263,1400,280,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,8
北京,北京市,丰台,90325,90325,北京市,宏站,中兴,,116.330061,39.821962,,,23123213,23123213,488,4585,38400,270,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,西城,90920,90920,北京市,宏站,中兴,,116.382298,39.870121,,,23275533,23275533,395,4572,38400,230,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,丰台,90950,90950,北京市,宏站,中兴,,116.347298,39.817361,,,23283213,23283213,482,4585,38400,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,丰台,90972,90972,北京市,宏站,中兴,,116.221199,39.854836,,,23288845,23288845,311,4461,38400,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,91324,91324,北京市,宏站,中兴,,116.292901,39.981591,,,23378957,23378957,24,4566,38400,60,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,93067,93067,北京市,宏站,华为,,116.482895,39.838448,,,23825165,23825165,360,4293,38355,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,顺义,94998,94998,北京市,室分,华为,,116.808631,40.157041,,,24319502,24319502,10,4355,39148,0,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,69296,69296,北京市,室分,华为,,116.423218,39.980192,,,17739798,17739798,351,4233,39292,0,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,7
北京,北京市,海淀,70578,70578,北京市,宏站,中兴,,116.345761,39.999991,,,18067980,18067980,325,4136,38400,120,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,7
北京,北京市,海淀,70706,70706,北京市,宏站,中兴,,116.312291,40.021631,,,18100748,18100748,454,4544,38400,160,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,8
北京,北京市,朝阳,74235,74235,北京市,宏站,华为,,116.511665,39.904446,,,19004173,19004173,390,4433,38400,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,74524,74524,北京市,宏站,华为,,116.415001,39.968888,,,19078153,19078153,284,4411,40936,290,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,78202,78202,北京市,宏站,中兴,,116.359491,39.989801,,,20019725,20019725,232,4136,38400,325,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,78373,78373,北京市,宏站,中兴,,116.254351,39.895931,,,20063501,20063501,425,4185,38355,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,78648,78648,北京市,宏站,中兴,,116.333861,40.047321,,,20133901,20133901,143,4530,37900,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,大兴,79096,79096,北京市,宏站,华为,,116.326428,39.791228,,,20248589,20248589,167,4463,38400,230,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,丰台,79108,79108,北京市,宏站,中兴,,116.330249,39.849941,,,20251661,20251661,44,4572,38400,295,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,通州,79551,79551,北京市,宏站,华为,,116.676717,39.912146,,,20365069,20365069,372,4265,38400,230,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,丰台,80291,80291,北京市,宏站,中兴,,116.344021,39.849171,,,20554509,20554509,449,4572,38400,270,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,81140,81140,北京市,宏站,华为,,116.448753,39.837674,,,20771853,20771853,287,4293,38400,330,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,81881,81881,北京市,宏站,华为,,116.496425,39.82521,,,20961549,20961549,22,4388,38400,330,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,81900,81900,北京市,宏站,华为,,116.412094,39.968372,,,20966409,20966409,245,4411,40936,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,东城,87466,87466,北京市,宏站,华为,,116.405277,39.931388,,,22391309,22391309,322,4288,38400,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,88108,88108,北京市,宏站,中兴,,116.317711,39.923451,,,22555661,22555661,7,4190,38400,270,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,88496,88496,北京市,宏站,中兴,,116.268381,40.010511,,,22654989,22654989,8,4121,38400,310,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,89380,89380,北京市,宏站,华为,,116.430951,39.978971,,,22881332,22881332,314,4233,1400,180,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,70285,70285,北京市,宏站,中兴,,116.325991,40.017581,,,17992973,17992973,254,4544,38400,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,70509,70509,北京市,宏站,中兴,,116.245321,39.939081,,,18050317,18050317,107,4314,38400,310,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,丰台,72258,72258,北京市,宏站,中兴,,116.340921,39.865791,,,18498061,18498061,212,4111,38400,290,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,丰台,72505,72505,北京市,宏站,中兴,,116.286661,39.837711,,,18561293,18561293,101,4189,38400,315,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,丰台,72528,72528,北京市,宏站,中兴,,116.303091,39.891342,,,18567181,18567181,17,4132,38355,270,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,73126,73126,北京市,宏站,华为,,116.446111,39.902501,,,18720269,18720269,53,4284,38355,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
